AAEL000001	bystin
AAEL011133	hypothetical protein
AAEL011134	esophageal cancer associated protein
AAEL011135	conserved hypothetical protein
AAEL011136	ATPase ASNA1 homolog (EC 3.6.-.-)(Arsenite-stimulated ATPase)(Arsenical pump-driving ATPase homolog)
AAEL011137	succinyl-coa:3-ketoacid-coenzyme a transferase
AAEL011138	hypothetical protein
AAEL011139	conserved hypothetical protein
AAEL011140	conserved hypothetical protein
AAEL011141	hypothetical protein
AAEL011142	hypothetical protein
AAEL011143	hypothetical protein
AAEL011144	triacylglycerol lipase, pancreatic
AAEL011145	ribosomal protein S6 kinase, 90kD, polypeptide
AAEL011146	conserved hypothetical protein
AAEL011147	conserved hypothetical protein
AAEL011148	hypothetical protein
AAEL011149	hypothetical protein
AAEL011150	RNA-binding protein precursor, putative
AAEL011151	conserved hypothetical protein
AAEL011152	predicted protein
AAEL011153	hypothetical protein
AAEL011154	hypothetical protein
AAEL011155	conserved hypothetical protein
AAEL011156	conserved hypothetical protein
AAEL011157	NADH dehydrogenase, putative
AAEL011158	disulfide oxidoreductase
AAEL011159	cartilage associated protein
AAEL011160	predicted protein
AAEL011161	conserved hypothetical protein
AAEL011162	Anaphase Promoting Complex, putative
AAEL011163	conserved hypothetical protein
AAEL011164	cadherin
AAEL011165	conserved hypothetical protein
AAEL011166	cadherin
AAEL011167	cathepsin l
AAEL011168	GTP-binding protein (i) alpha subunit, gnai
AAEL011169	hexamerin 2 beta
AAEL011170	hypothetical protein
AAEL011171	low-Mr GTP-binding protein Rab31, putative
AAEL011172	conserved hypothetical protein
AAEL011173	conserved hypothetical protein
AAEL011174	AaGr11
AAEL011175	alkaline phosphatase
AAEL011176	hypothetical protein
AAEL011177	conserved hypothetical protein
AAEL011178	posterior sex combs protein
AAEL011179	ring finger protein
AAEL011180	conserved hypothetical protein
AAEL011181	hypothetical protein
AAEL011182	sex-determining protein fem-1
AAEL011183	conserved hypothetical protein
AAEL011184	mitochondrial phosphate carrier protein
AAEL011185	hypothetical protein
AAEL011186	conserved hypothetical protein
AAEL011187	U520
AAEL011188	hypothetical protein
AAEL011189	conserved hypothetical protein
AAEL011190	conserved hypothetical protein
AAEL011191	protein phosphatase 1 binding protein
AAEL011192	vacuolar sorting protein vps29
AAEL011193	steroid dehydrogenase
AAEL011194	hypothetical protein
AAEL011195	mitochondrial phosphate carrier protein
AAEL011196	conserved hypothetical protein
AAEL011197	actin
AAEL011198	mitochondrial ribosomal protein, L38, putative
AAEL011199	conserved hypothetical protein
AAEL011200	conserved hypothetical protein
AAEL011201	hypothetical protein
AAEL011202	bhlhzip transcription factor bigmax
AAEL011203	conserved hypothetical protein
AAEL011204	xenotropic and polytropic murine leukemia virus receptor xpr1
AAEL011205	conserved hypothetical protein
AAEL011206	aminoacylase, putative
AAEL011207	hypothetical protein
AAEL011208	Av71 muscle cell intermediate filament, putative
AAEL011209	bat5  hla-b-associated transcript
AAEL011210	conserved hypothetical protein
AAEL011211	conserved hypothetical protein
AAEL011212	nuclear transcription factor, x-box binding 1 (nfx1)
AAEL011213	conserved hypothetical protein
AAEL011214	conserved hypothetical protein
AAEL011215	F-box and WD40 domain protein 7 (fbw7)
AAEL011216	conserved hypothetical protein
AAEL011217	conserved hypothetical protein
AAEL011218	hypothetical protein
AAEL011219	conserved hypothetical protein
AAEL011220	Ati or CPXV158 protein, putative
AAEL011221	nmda receptor glutamate-binding chain
AAEL011222	ClassB Scavenger Receptor (CD36 domain).
AAEL011223	hypothetical protein
AAEL011224	hypothetical protein
AAEL011225	conserved hypothetical protein
AAEL011226	ras GTP exchange factor
AAEL011227	conserved hypothetical protein
AAEL011228	eclosion hormone, putative
AAEL011229	eclosion hormone, putative
AAEL011230	chymotrypsin, putative
AAEL011231	conserved hypothetical protein
AAEL011232	conserved hypothetical protein
AAEL011233	SM protein G, putative
AAEL011234	reticulon/nogo receptor
AAEL011235	conserved hypothetical protein
AAEL011236	hypothetical protein
AAEL011237	conserved hypothetical protein
AAEL011238	conserved hypothetical protein
AAEL011239	short-chain dehydrogenase
AAEL011240	hypothetical protein
AAEL011241	conserved hypothetical protein
AAEL011242	udp-glucose 6-dehydrogenase
AAEL011243	short-chain dehydrogenase
AAEL011244	surfeit locus protein
AAEL011245	deoxyhypusine synthase
AAEL011246	WD-repeat protein
AAEL011247	arrowhead
AAEL011248	innexin
AAEL011249	Para-hydroxybenzoate--polyprenyltransferase, mitochondrial Precursor (PHB:polyprenyltransferase)(EC 2.5.1.-)(Coenzyme Q biosynthesis protein 2)
AAEL011250	conserved hypothetical protein
AAEL011251	RNA binding motif protein
AAEL011252	conserved hypothetical protein
AAEL011253	rho-GTPase-activating protein
AAEL011254	hypothetical protein
AAEL011255	GTP-binding protein-invertebrate
AAEL011256	cation efflux protein/ zinc transporter
AAEL011257	hypothetical protein
AAEL011258	dedicator of cytokinesis (dock)
AAEL011259	phosphatidylethanolamine-binding protein
AAEL011260	phosphatidylethanolamine-binding protein
AAEL011261	yemanuclein
AAEL011262	hypothetical protein
AAEL011263	phosphatidylethanolamine-binding protein
AAEL011264	phosphatidylethanolamine-binding protein
AAEL011265	ABC transporter
AAEL011266	hypothetical protein
AAEL011267	hypothetical protein
AAEL011268	phosphatidylethanolamine-binding protein
AAEL011269	ATP-binding cassette transporter
AAEL011270	hypothetical protein
AAEL011271	programmed cell death 6-interacting protein
AAEL011272	nmda receptor glutamate-binding chain
AAEL011273	uridine cytidine kinase i
AAEL011274	1-phosphatidylinositol-4-phosphate 5-kinase, putative
AAEL011275	organic cation transporter
AAEL011276	mitochondrial glutamate carrier protein
AAEL011277	apoptosis stimulating of P53
AAEL011278	apolipoprotein D, putative
AAEL011279	requim, req/dpf2
AAEL011280	voltage-dependent p/q type calcium channel
AAEL011281	cytochrome B561
AAEL011282	ribosomal RNA small subunit methyltransferase b (sun)
AAEL011283	Cytoplasmic tRNA 2-thiolation protein 1 (EC 2.7.7.-)(Cytoplasmic tRNA adenylyltransferase 1)
AAEL011284	down syndrome cell adhesion molecule
AAEL011285	conserved hypothetical protein
AAEL011286	conserved hypothetical protein
AAEL011287	ubiquitin specific protease
AAEL011288	elongation factor 1 gamma
AAEL011289	conserved hypothetical protein
AAEL011290	hypothetical protein
AAEL011291	protease m1 zinc metalloprotease
AAEL011292	protease m1 zinc metalloprotease
AAEL011293	vitamin-K-epoxide reductase (warfarin-sensitive), putative
AAEL011294	hypothetical protein
AAEL011295	conserved hypothetical protein
AAEL011296	conserved hypothetical protein
AAEL011297	hypothetical protein
AAEL011298	hypothetical protein
AAEL011299	conserved hypothetical protein
AAEL011300	conserved hypothetical protein
AAEL011301	conserved hypothetical protein
AAEL011302	annexin
AAEL011303	cell division protein ftsj
AAEL011304	conserved hypothetical protein
AAEL011305	hypothetical protein
AAEL011306	conserved hypothetical protein
AAEL011307	RAD51C protein, putative
AAEL011308	serine threonine-protein kinase
AAEL011309	orotidine-5'-phosphate decarboxylase, putative
AAEL011310	axonemal dynein intermediate chain polypeptide
AAEL011311	conserved hypothetical protein
AAEL011312	hypothetical protein
AAEL011313	epoxide hydrolase
AAEL011314	epoxide hydrolase
AAEL011315	conserved hypothetical protein
AAEL011316	zinc finger protein
AAEL011317	actin
AAEL011318	guanylate cyclase
AAEL011319	hypothetical protein
AAEL011320	G-protein, gamma-subunit, putative
AAEL011321	conserved hypothetical protein
AAEL011323	Hepatocytenuclear factor 4 isoform A, nuclear receptor
AAEL011324	hypothetical protein
AAEL011325	gonadotropin-releasing hormone receptor
AAEL011326	conserved hypothetical protein
AAEL011327	nuclear transcription factor 4 homolog isoform-C (HNF4C)
AAEL011328	zinc finger protein
AAEL011329	conserved hypothetical protein
AAEL011330	conserved hypothetical protein
AAEL011331	conserved hypothetical protein
AAEL011332	dopamine beta hydroxylase
AAEL011333	conserved hypothetical protein
AAEL011334	conserved hypothetical protein
AAEL011335	conserved hypothetical protein
AAEL011336	conserved hypothetical protein
AAEL011337	hypothetical protein
AAEL011338	conserved hypothetical protein
AAEL011339	conserved hypothetical protein
AAEL011340	U1 small nuclear ribonucleoprotein 70 kd
AAEL011341	apyrase, putative
AAEL011342	conserved hypothetical protein
AAEL011343	conserved hypothetical protein
AAEL011344	conserved hypothetical protein
AAEL011345	conserved hypothetical protein
AAEL011346	salivary apyrase, putative
AAEL011347	conserved hypothetical protein
AAEL011348	hypothetical protein
AAEL011349	serine protease
AAEL011350	hypothetical protein
AAEL011351	hypothetical protein
AAEL011352	conserved hypothetical protein
AAEL011353	conserved hypothetical protein
AAEL011354	zinc finger protein
AAEL011355	carnitine o-acetyltransferase
AAEL011356	alcohol dehydrogenase
AAEL011357	maintenance of killer 16 (mak16) protein
AAEL011358	origin recognition complex subunit
AAEL011359	nfat
AAEL011360	conserved hypothetical protein
AAEL011361	conserved hypothetical protein
AAEL011362	hypothetical protein
AAEL011363	TOLLpathway signalling, TNF Receptor-Associated Factor (TRAF).
AAEL011364	conserved hypothetical protein
AAEL011365	conserved hypothetical protein
AAEL011366	hypothetical protein
AAEL011367	conserved hypothetical protein
AAEL011368	sugar transporter
AAEL011369	endothelin-converting enzyme
AAEL011370	zinc finger protein
AAEL011371	conserved hypothetical protein
AAEL011372	hypothetical protein
AAEL011373	hypothetical protein
AAEL011374	conserved hypothetical protein
AAEL011375	trypsin, putative
AAEL011376	mitosis inhibitor protein kinase
AAEL011377	conserved hypothetical protein
AAEL011378	DEAD box ATP-dependent RNA helicase
AAEL011379	coenzyme q10 biosynthesis protein
AAEL011380	high mobility group B1, putative
AAEL011381	NADH-ubiquinone oxidoreductase fe-s protein 2 (ndufs2)
AAEL011382	116 kda U5 small nuclear ribonucleoprotein component
AAEL011383	MAGE-41 protein, putative
AAEL011384	hypothetical protein
AAEL011385	hypothetical protein
AAEL011386	conserved hypothetical protein
AAEL011387	leucine-rich repeat
AAEL011388	conserved hypothetical protein
AAEL011389	conserved hypothetical protein
AAEL011390	mitochondrial ribosomal protein, L9, putative
AAEL011391	mitochondrial ribosomal protein, S9, putative
AAEL011392	conserved hypothetical protein
AAEL011393	hypothetical protein
AAEL011394	conserved hypothetical protein
AAEL011395	glutaminyl-tRNA synthetase
AAEL011396	neurogenic locus delta protein
AAEL011397	hypothetical protein
AAEL011398	hypothetical protein
AAEL011399	conserved hypothetical protein
AAEL011400	conserved hypothetical protein
AAEL011401	hypothetical protein
AAEL011402	C-Type lectin (CTL).
AAEL011403	hypothetical protein
AAEL011404	C-Type lectin (CTL).
AAEL011405	conserved hypothetical protein
AAEL011406	cytochrome c oxidase polypeptide
AAEL011407	C-Type lectin (CTL).
AAEL011408	C-Type lectin (CTL).
AAEL011409	odorant receptor
AAEL011410	kinesin light chain 1 and
AAEL011411	sugar transporter
AAEL011412	conserved hypothetical protein
AAEL011413	conserved hypothetical protein
AAEL011414	high mobility group non-histone protein, putative
AAEL011415	lysine-specific histone demethylase
AAEL011416	conserved hypothetical protein
AAEL011417	synaptojanin
AAEL011418	conserved hypothetical protein
AAEL011419	conserved hypothetical protein
AAEL011420	conserved hypothetical protein
AAEL011421	multiple inositol polyphosphate phosphatase
AAEL011422	conserved hypothetical protein
AAEL011423	sugar transporter
AAEL011424	histone H3
AAEL011425	structure-specific recognition protein
AAEL011426	hypothetical protein
AAEL011427	conserved hypothetical protein
AAEL011428	fast myosin heavy chain HCIII, putative
AAEL011429	clathrin coat adaptor ap3 medium chain
AAEL011430	hypothetical protein
AAEL011431	conserved hypothetical protein
AAEL011432	plexin b
AAEL011433	small nuclear ribonucleoprotein sm d3
AAEL011434	hypothetical protein
AAEL011435	radical sam proteins
AAEL011436	myosin xv
AAEL011437	hypothetical protein
AAEL011438	conserved hypothetical protein
AAEL011439	paramyosin, putative
AAEL011440	conserved hypothetical protein
AAEL011441	calcium/calmodulin-dependent protein kinase type 1 (camki)
AAEL011442	translation initiation factor eif-2b gamma subunit
AAEL011443	conserved hypothetical protein
AAEL011444	pupal cuticle protein, putative
AAEL011445	conserved hypothetical protein
AAEL011446	C-Type lectin (CTL).
AAEL011447	60S ribosomal protein L14
AAEL011448	conserved hypothetical protein
AAEL011449	conserved hypothetical protein
AAEL011450	alcohol dehydrogenase, putative
AAEL011451	conserved hypothetical protein
AAEL011452	conserved hypothetical protein
AAEL011453	C-Type lectin (CTL).
AAEL011454	conserved hypothetical protein
AAEL011455	C-Type lectin (CTL) - mannose binding.
AAEL011456	conserved hypothetical protein
AAEL011457	conserved hypothetical protein
AAEL011458	hypothetical protein
AAEL011459	conserved hypothetical protein
AAEL011460	conserved hypothetical protein
AAEL011461	conserved hypothetical protein
AAEL011462	conserved hypothetical protein
AAEL011463	cytochrome P450
AAEL011464	hypothetical protein
AAEL011465	conserved hypothetical protein
AAEL011466	conserved hypothetical protein
AAEL011467	lipase 1 precursor
AAEL011468	protein kinase C inhibitor, putative
AAEL011469	conserved hypothetical protein
AAEL011470	cis,cis-muconate transport protein MucK, putative
AAEL011471	60S ribosomal protein L17 
AAEL011472	hypothetical protein
AAEL011473	chromatin regulatory protein sir2
AAEL011474	conserved hypothetical protein
AAEL011475	GPCR Gonadotrophin Releasing Hormone Family
AAEL011476	conserved hypothetical protein
AAEL011477	conserved hypothetical protein
AAEL011478	cytoplasmic dynein light chain
AAEL011479	hypothetical protein
AAEL011480	tpr repeat nuclear phosphoprotein
AAEL011481	odorant-binding protein 50c, putative
AAEL011482	odorant-binding protein 50d, putative
AAEL011483	odorant-binding protein 50c, putative
AAEL011484	odorant-binding protein 50c, putative
AAEL011485	hypothetical protein
AAEL011486	conserved hypothetical protein
AAEL011487	conserved hypothetical protein
AAEL011488	short-chain dehydrogenase
AAEL011489	conserved hypothetical protein
AAEL011490	conserved hypothetical protein
AAEL011491	odorant-binding protein 50d, putative
AAEL011492	conserved hypothetical protein
AAEL011493	WD-repeat protein
AAEL011494	odorant-binding protein 47b, putative
AAEL011495	sumo ligase
AAEL011496	chitinase
AAEL011497	conserved hypothetical protein
AAEL011498	Copper-Zinc(Cu-Zn) Superoxide Dismutase.
AAEL011499	odorant-binding protein 58c, putative
AAEL011500	Cdc42 protein, putative
AAEL011501	hypothetical protein
AAEL011502	conserved hypothetical protein
AAEL011503	p15-2b protein, putative
AAEL011504	pupal cuticle protein, putative
AAEL011505	integral membrane pore glycoprotein gp210, putative
AAEL011506	hypothetical protein
AAEL011507	zinc finger protein
AAEL011508	conserved hypothetical protein
AAEL011509	hypothetical protein
AAEL011510	multiple inositol polyphosphate phosphatase
AAEL011511	conserved hypothetical protein
AAEL011512	conserved hypothetical protein
AAEL011513	conserved hypothetical protein
AAEL011514	cytochrome c oxidase, subunit VIIC, putative
AAEL011515	hypothetical protein
AAEL011516	conserved hypothetical protein
AAEL011517	beta-hexosaminidase
AAEL011518	aspartyl-tRNA synthetase
AAEL011519	sucrose transport protein
AAEL011520	sucrose transport protein
AAEL011521	GPCR Methuselah Family
AAEL011522	MRAS2, putative
AAEL011523	hypothetical protein
AAEL011524	conserved hypothetical protein
AAEL011525	hypothetical protein
AAEL011526	GPCR Methuselah Family
AAEL011527	eukaryotic translation initiation factor
AAEL011528	triacylglycerol lipase, putative
AAEL011529	late endosomal/lysosomal MP1 interacting protein, putative
AAEL011530	conserved hypothetical protein
AAEL011531	conserved hypothetical protein
AAEL011532	hypothetical protein
AAEL011533	hypothetical protein
AAEL011534	ATP-dependent RNA helicase
AAEL011535	WD-repeat protein
AAEL011536	phosphoglucomutase
AAEL011537	hypothetical protein
AAEL011538	conserved hypothetical protein
AAEL011539	metalloproteinase, putative
AAEL011540	metalloproteinase, putative
AAEL011541	ubiquitin protein ligase
AAEL011542	metalloproteinase, putative
AAEL011543	metalloproteinase, putative
AAEL011544	mago nashi, putative
AAEL011545	cxyorf1
AAEL011546	conserved hypothetical protein
AAEL011547	metalloproteinase, putative
AAEL011548	conserved hypothetical protein
AAEL011549	trypsin
AAEL011550	metalloproteinase, putative
AAEL011551	conserved hypothetical protein
AAEL011552	hypothetical protein
AAEL011553	trypsin
AAEL011554	adhesion regulating molecule 1 (110 kda cell membrane glycoprotein)
AAEL011555	metalloproteinase, putative
AAEL011556	conserved hypothetical protein
AAEL011557	metalloproteinase, putative
AAEL011558	metalloproteinase, putative
AAEL011559	metalloproteinase, putative
AAEL011560	conserved hypothetical protein
AAEL011561	conserved hypothetical protein
AAEL011562	Caspase(Long).
AAEL011563	conserved hypothetical protein
AAEL011564	choline-phosphate cytidylyltransferase a, b
AAEL011565	ankyrin 2,3/unc44
AAEL011566	cell adhesion molecule
AAEL011567	protein phosphatase 2c
AAEL011568	conserved hypothetical protein
AAEL011569	conserved hypothetical protein
AAEL011570	acidic fibroblast growth factor intracellular binding protein
AAEL011571	AaGr14
AAEL011572	Oct1, putative
AAEL011573	conserved hypothetical protein
AAEL011574	hypothetical protein
AAEL011575	conserved hypothetical protein
AAEL011576	conserved hypothetical protein
AAEL011577	A-kinase anchoring protein AKAP120, putative
AAEL011578	serine/threonine protein kinase
AAEL011579	conserved hypothetical protein
AAEL011580	conserved hypothetical protein
AAEL011581	conserved hypothetical protein
AAEL011582	hypothetical protein
AAEL011583	odorant receptor
AAEL011584	chaperonin-60kD, ch60
AAEL011585	conserved hypothetical protein
AAEL011586	hypothetical protein
AAEL011587	ribosomal protein L27, putative
AAEL011588	conserved hypothetical protein
AAEL011589	hypothetical protein
AAEL011590	dynactin subunit
AAEL011591	conserved hypothetical protein
AAEL011592	secreted mucin MUC17, putative
AAEL011593	Clip-domain serine protease, family C.
AAEL011594	serine/threonine protein kinase
AAEL011596	mitotic checkpoint serine/threonine-protein kinase bub1 and bubr1
AAEL011597	conserved hypothetical protein
AAEL011598	hypothetical protein
AAEL011599	ADP-ribosylation factor, putative
AAEL011600	hypothetical protein
AAEL011602	conserved hypothetical protein
AAEL011603	prokaryotic DNA topoisomerase
AAEL011604	perlecan
AAEL011606	conserved hypothetical protein
AAEL011608	PeptidoglycanRecognition Protein (Long)
AAEL011609	C-Type lectin (CTL).
AAEL011610	C-Type lectin (CTL) - galactose binding.
AAEL011612	C-Type lectin (CTL) - mannose binding. Transcript A
AAEL011614	hypothetical protein
AAEL011615	rab gdp/GTP exchange factor
AAEL011616	C-Type lectin (CTL) - galactose binding.
AAEL011617	conserved hypothetical protein
AAEL011618	conserved hypothetical protein
AAEL011620	conserved hypothetical protein
AAEL011621	C-Type lectin (CTL) - mannose binding.
AAEL011622	serine protease, putative
AAEL011623	conserved hypothetical protein
AAEL011624	granzyme A precursor, putative
AAEL011625	voltage-dependent calcium channel
AAEL011626	DNA cross-link repair protein pso2/snm1
AAEL011627	ribose-5-phosphate isomerase
AAEL011628	conserved hypothetical protein
AAEL011629	tyrosyl-DNA phosphodiesterase
AAEL011630	conserved hypothetical protein
AAEL011631	hypothetical protein
AAEL011632	fk506 binding protein
AAEL011633	fibrinogen and fibronectin
AAEL011634	fibrinogen and fibronectin
AAEL011635	conserved hypothetical protein
AAEL011636	hypothetical protein
AAEL011637	fms interacting protein
AAEL011638	cyclic-nucleotide-gated cation channel
AAEL011639	WAP four-disulfide core domain protein 2 precursor, putative
AAEL011640	hypothetical protein
AAEL011641	transferrin
AAEL011642	conserved hypothetical protein
AAEL011643	homothorax homeobox protein
AAEL011644	hypothetical protein
AAEL011645	conserved hypothetical protein
AAEL011646	conserved hypothetical protein
AAEL011647	paired box protein, putative
AAEL011648	cyclin d
AAEL011649	DNA polymerase theta
AAEL011650	coatomer, gamma-subunit, putative
AAEL011651	l-caldesmon, putative
AAEL011652	conserved hypothetical protein
AAEL011653	thyroid hormone receptor interactor
AAEL011654	cationic amino acid transporter
AAEL011655	aspartyl-tRNA synthetase
AAEL011656	40S ribosomal protein S15
AAEL011657	importin alpha
AAEL011658	plasma glutamate carboxypeptidase
AAEL011659	conserved hypothetical protein
AAEL011660	hypothetical protein
AAEL011661	conserved hypothetical protein
AAEL011662	plasma glutamate carboxypeptidase
AAEL011663	conserved hypothetical protein
AAEL011664	conserved hypothetical protein
AAEL011665	hypothetical protein
AAEL011666	mitochondrial ribosomal protein, L41, putative
AAEL011667	cir
AAEL011668	conserved hypothetical protein
AAEL011669	hypothetical protein
AAEL011671	hypothetical protein
AAEL011672	conserved hypothetical protein
AAEL011673	cop9 signalosome complex subunit
AAEL011675	hypothetical protein
AAEL011676	AMP dependent coa ligase
AAEL011677	AMP dependent coa ligase
AAEL011678	centrosomal protein, putative
AAEL011679	ion channel nompc
AAEL011680	GPCR Orphan/Putative Class A Family
AAEL011681	beta-tubulin cofactor d
AAEL011682	nuclear pore complex protein nup93 (nucleoporin nup93) (dead eye protein)
AAEL011683	hypothetical protein
AAEL011684	conserved hypothetical protein
AAEL011685	conserved hypothetical protein
AAEL011686	starch branching enzyme ii
AAEL011687	alternative splicing type 3 and, putative
AAEL011688	cpg binding protein
AAEL011689	acyl carrier protein precursor, putative
AAEL011690	conserved hypothetical protein
AAEL011691	hypothetical protein
AAEL011692	DNA-directed RNA polymerase II largest subunit
AAEL011693	mitotic control protein dis3
AAEL011694	conserved hypothetical protein
AAEL011695	guanine nucleotide exchange factor
AAEL011696	conserved hypothetical protein
AAEL011697	glycerol kinase
AAEL011698	mRNA (guanine-7-)methyltransferase
AAEL011699	hypothetical protein
AAEL011700	phosphatidylinositol glycan, class c
AAEL011701	conserved hypothetical protein
AAEL011702	conserved hypothetical protein
AAEL011703	conserved hypothetical protein
AAEL011704	heat shock protein
AAEL011705	conserved hypothetical protein
AAEL011706	conserved hypothetical protein
AAEL011707	hypothetical protein
AAEL011708	heat shock protein
AAEL011709	diacylglycerol kinase, epsilon
AAEL011710	conserved hypothetical protein
AAEL011711	nascent polypeptide associated complex alpha subunit (nac alpha)
AAEL011712	diacylglycerol kinase, alpha, beta, gamma
AAEL011713	conserved hypothetical protein
AAEL011714	conserved hypothetical protein
AAEL011715	conserved hypothetical protein
AAEL011716	tartan
AAEL011717	tartan
AAEL011718	conserved hypothetical protein
AAEL011719	conserved hypothetical protein
AAEL011720	hypothetical protein
AAEL011721	conserved hypothetical protein
AAEL011722	zinc carboxypeptidase
AAEL011723	paramyosin, putative
AAEL011724	conserved hypothetical protein
AAEL011725	conserved hypothetical protein
AAEL011726	hypothetical protein
AAEL011727	Molybdenum cofactor sulfurase 2 (MoCo sulfurase 2)(MOS 2)(EC 4.4.-.-)(Protein maroon-like 2)(Ma-l 2)
AAEL011728	hypothetical protein
AAEL011729	Molybdenum cofactor sulfurase 3 (MoCo sulfurase 3)(MOS 3)(EC 4.4.-.-)(Protein maroon-like 3)(Ma-l 3)
AAEL011730	odorant-binding protein 99c, putative
AAEL011731	metalloprotease
AAEL011732	prip interacting protein. pimt
AAEL011733	transcription elongation regulator 1 (ca150)
AAEL011734	Toll-likeReceptor.
AAEL011735	conserved hypothetical protein
AAEL011736	cyclohex-1-ene-1-carboxyl-CoA hydratase, putative
AAEL011737	hypothetical protein
AAEL011738	conserved hypothetical protein
AAEL011739	MAFF protein, putative
AAEL011740	hypothetical protein
AAEL011741	glutathionetransferase
AAEL011742	eukaryotic peptide chain release factor subunit
AAEL011743	hypothetical protein
AAEL011744	DEAD box ATP-dependent RNA helicase
AAEL011745	trisn small nuclear ribonucleoprotein, putative
AAEL011746	succinyl-coa synthetase beta chain
AAEL011747	M protein type, putative
AAEL011748	conserved hypothetical protein
AAEL011749	conserved hypothetical protein
AAEL011750	actin
AAEL011751	ccar1
AAEL011752	glutathionetransferase
AAEL011753	conserved hypothetical protein
AAEL011754	conserved hypothetical protein
AAEL011755	integral membrane protein, Tmp21-I (p23), putative
AAEL011756	aldehyde dehydrogenase
AAEL011757	conserved hypothetical protein
AAEL011758	peptidyl-prolyl cis-trans isomerase f, ppif
AAEL011759	mRNA capping enzyme
AAEL011760	leucine-rich transmembrane protein
AAEL011761	cytochrome P450
AAEL011762	conserved hypothetical protein
AAEL011763	Prophenoloxidase
AAEL011764	Prophenoloxidase
AAEL011765	conserved hypothetical protein
AAEL011766	conserved hypothetical protein
AAEL011767	hypothetical protein
AAEL011768	conserved hypothetical protein
AAEL011769	cytochrome P450
AAEL011770	cytochrome P450
AAEL011771	hypothetical protein
AAEL011772	DNA repair protein rad50
AAEL011773	calreticulin
AAEL011774	sarcolemmal associated protein, putative
AAEL011775	hypothetical protein
AAEL011776	soluble nsf attachment protein (snap)
AAEL011777	serine protease inhibitor (serpin), likely cleavage at K/A.
AAEL011778	WD-repeat protein
AAEL011779	conserved hypothetical protein
AAEL011780	DNA mismatch repair protein muts
AAEL011781	perixosomal biogenesis factor
AAEL011782	conserved hypothetical protein
AAEL011783	conserved hypothetical protein
AAEL011784	alpha(1,3)fucosyltransferase
AAEL011785	conserved hypothetical protein
AAEL011786	conserved hypothetical protein
AAEL011787	hypothetical protein
AAEL011788	conserved hypothetical protein
AAEL011789	Probable citrate synthase 2, mitochondrial Precursor (EC 2.3.3.1)
AAEL011790	conserved hypothetical protein
AAEL011791	conserved hypothetical protein
AAEL011792	potassium/chloride symporter, putative
AAEL011793	aspartyl beta-hydroxylase, putative
AAEL011794	predicted protein
AAEL011795	allergen, putative
AAEL011796	odorant receptor
AAEL011797	venom allergen
AAEL011798	allergen, putative
AAEL011799	conserved hypothetical protein
AAEL011800	hypothetical protein
AAEL011801	hypothetical protein
AAEL011802	allergen, putative
AAEL011803	prohibitin, putative
AAEL011804	hypothetical protein
AAEL011805	zinc finger protein
AAEL011806	glucose dehydrogenase
AAEL011807	conserved hypothetical protein
AAEL011808	glucose dehydrogenase
AAEL011809	glucose dehydrogenase
AAEL011810	conserved hypothetical protein
AAEL011811	DNA replication licensing factor MCM3
AAEL011812	gonadotropin inducible transcription factor
AAEL011813	conserved hypothetical protein
AAEL011814	mitochondrial ribosomal protein, S30, putative
AAEL011815	poly [ADP-ribose] polymerase
AAEL011816	conserved hypothetical protein
AAEL011817	nonsense-mediated mRNA decay protein 1 (rent1)
AAEL011818	hypothetical protein
AAEL011819	Cohesin loading complex subunit SCC4 homolog 
AAEL011820	conserved hypothetical protein
AAEL011821	adenylyl cyclase-associated protein
AAEL011822	gamma glutamyl transpeptidases
AAEL011823	gamma glutamyl transpeptidases
AAEL011824	gamma glutamyl transpeptidases
AAEL011825	aryl hydrocarbon receptor
AAEL011826	conserved hypothetical protein
AAEL011827	conserved hypothetical protein
AAEL011828	hypothetical protein
AAEL011829	hypothetical protein
AAEL011830	Probable methylthioribulose-1-phosphate dehydratase (MTRu-1-P dehydratase)(EC 4.2.1.109)
AAEL011831	conserved hypothetical protein
AAEL011832	conserved hypothetical protein
AAEL011833	hypothetical protein
AAEL011834	hypothetical protein
AAEL011835	voltage-gated potassium channel
AAEL011836	conserved hypothetical protein
AAEL011837	cAMP-dependent protein kinase catalytic subunit
AAEL011838	conserved hypothetical protein
AAEL011839	hypothetical protein
AAEL011840	conserved hypothetical protein
AAEL011841	ethanolaminephosphotransferase
AAEL011842	mitochondrial carrier protein
AAEL011843	odorant receptor
AAEL011844	GPCR Serotonin Family
AAEL011845	hypothetical protein
AAEL011846	hypothetical protein
AAEL011847	hypothetical protein
AAEL011848	conserved hypothetical protein
AAEL011849	hypothetical protein
AAEL011850	cytochrome P450
AAEL011851	conserved hypothetical protein
AAEL011852	hypothetical protein
AAEL011853	conserved hypothetical protein
AAEL011854	hypothetical protein
AAEL011855	conserved hypothetical protein
AAEL011856	hypothetical protein
AAEL011857	serine/threonine-protein kinase rio1 (rio kinase 1)
AAEL011858	transcription factor IIIA, putative
AAEL011859	conserved hypothetical protein
AAEL011860	hypothetical protein
AAEL011861	conserved hypothetical protein
AAEL011862	conserved hypothetical protein
AAEL011863	ABC transporter
AAEL011864	A-kinase anchoring protein AKAP120, putative
AAEL011865	conserved hypothetical protein
AAEL011866	DNA-directed RNA polymerase III 25 kDa polypeptide
AAEL011867	hypothetical protein
